GEOPOINT,GEOID,NAME,NAMELSAD,STUSAB
39.6302838888; -80.0465441583,54061,Monongalia,Monongalia County,WV
34.965857001; -101.896944529,48381,Randall,Randall County,TX
39.1424974869; -92.6962654763,29089,Howard,Howard County,MO
30.4060343343; -85.1972071433,12013,Calhoun,Calhoun County,FL
44.3695852597; -97.491476123,46077,Kingsbury,Kingsbury County,SD
34.0724245507; -101.303234519,48153,Floyd,Floyd County,TX
44.4888787662; -122.534995075,41043,Linn,Linn County,OR
35.4012758182; -101.894004898,48375,Potter,Potter County,TX
36.2927208493; -82.1274783436,47019,Carter,Carter County,TN
40.7321421632; -73.585536665,36059,Nassau,Nassau County,NY
36.0766050343; -81.9226013745,37011,Avery,Avery County,NC
44.8895880248; -116.453882862,16003,Adams,Adams County,ID
38.0276014047; -119.95475358,6109,Tuolumne,Tuolumne County,CA
18.1720935702; -66.9422835125,72093,Maricao,Maricao Municipio,PR
40.1332239754; -84.6193191365,39037,Darke,Darke County,OH
37.3785013178; -81.653583786,54047,McDowell,McDowell County,WV
41.3488242868; -72.8998576911,9009,New Haven,New Haven County,CT
42.6712233677; -89.0715652079,55105,Rock,Rock County,WI
43.4913425333; -83.4398685744,26157,Tuscola,Tuscola County,MI
35.7639016515; -90.0541660119,5093,Mississippi,Mississippi County,AR
33.8922415035; -88.4804669083,28095,Monroe,Monroe County,MS
34.5303849906; -101.735026846,48437,Swisher,Swisher County,TX
38.7787375794; -120.524649929,6017,El Dorado,El Dorado County,CA
36.4449435708; -76.7005266521,37073,Gates,Gates County,NC
48.77230295; -98.464838016,38019,Cavalier,Cavalier County,ND
28.8678175883; -99.1082667829,48163,Frio,Frio County,TX
43.2974962568; -71.6802764616,33013,Merrimack,Merrimack County,NH
32.3968141786; -81.7431781429,13031,Bulloch,Bulloch County,GA
34.2254421511; -89.0374096749,28115,Pontotoc,Pontotoc County,MS
30.7882970504; -98.1824471655,48053,Burnet,Burnet County,TX
32.0784621843; -84.8352023744,13259,Stewart,Stewart County,GA
34.901372384; -87.6539980067,1077,Lauderdale,Lauderdale County,AL
36.8590007836; -76.3567086184,51740,Portsmouth,Portsmouth city,VA
33.6745577167; -85.5187680028,1029,Cleburne,Cleburne County,AL
35.8938381553; -86.8986535599,47187,Williamson,Williamson County,TN
39.9735467174; -90.247375054,17017,Cass,Cass County,IL
43.9891394613; -115.730322485,16015,Boise,Boise County,ID
47.3529575649; -115.892435463,16079,Shoshone,Shoshone County,ID
42.1212370657; -91.131465421,19105,Jones,Jones County,IA
31.4318270699; -85.6110368183,1045,Dale,Dale County,AL
40.887287897; -109.507612097,49009,Daggett,Daggett County,UT
34.8633405971; -104.790631134,35019,Guadalupe,Guadalupe County,NM
38.0228983556; -78.5566760673,51003,Albemarle,Albemarle County,VA
31.9736926021; -90.9118133348,28021,Claiborne,Claiborne County,MS
32.8624049426; -85.7975022448,1123,Tallapoosa,Tallapoosa County,AL
33.616489499; -99.2135151435,48023,Baylor,Baylor County,TX
45.934046167; -96.0121840981,27051,Grant,Grant County,MN
37.5073151069; -94.8518113711,20037,Crawford,Crawford County,KS
42.9152915059; -71.7160824662,33011,Hillsborough,Hillsborough County,NH
27.7350347565; -97.516253851,48355,Nueces,Nueces County,TX
42.7110535518; -73.5097121399,36083,Rensselaer,Rensselaer County,NY
34.5998564246; -112.553944833,4025,Yavapai,Yavapai County,AZ
40.8620042241; -74.5445106674,34027,Morris,Morris County,NJ
40.2106416142; -93.1115222539,29211,Sullivan,Sullivan County,MO
32.7463149294; -100.916407078,48415,Scurry,Scurry County,TX
37.2355230437; -99.8203076918,20025,Clark,Clark County,KS
43.9906739447; -84.3882463136,26051,Gladwin,Gladwin County,MI
34.6866819092; -80.7054233818,45057,Lancaster,Lancaster County,SC
40.9596717781; -74.0742255725,34003,Bergen,Bergen County,NJ
18.3969534214; -65.9687553171,72031,Carolina,Carolina Municipio,PR
38.3243487435; -110.903793031,49055,Wayne,Wayne County,UT
38.7199480156; -87.7267298383,17101,Lawrence,Lawrence County,IL
